GeneID,Phylostrata,EnsemblID,Entrez
ABCA13,1,ENSGALG00010000626,420943
ABCA13,1,ENSG00000179869,154664
ABCA3,1,ENSGALG00010018864,416386
ABCA3,1,ENSG00000167972,21
ABCA4,1,ENSGALG00010021143,424490
ABCA4,1,ENSG00000198691,24
ABCA5,1,ENSG00000154265,23461
ABCA5,1,ENSGALG00010029418,417444
ABCA6,1,ENSG00000154262,23460
ABCA7,1,ENSG00000064687,10347
ABCA7,1,ENSDARG00000074221,561460
ABCA8,1,ENSG00000141338,10351
ABCA9,1,ENSG00000154258,10350
ABCB1,1,ENSGALG00010005222,420534
ABCB1,1,ENSG00000085563,5243
ABCB1,1,ENSGALG00010004200,395712
ABCB10,1,ENSGALG00010009554,421537
ABCB10,1,ENSG00000135776,23456
ABCB11,1,ENSG00000276582,8647
ABCB11,1,ENSDARG00000070078,571189
ABCB4,1,ENSG00000005471,5244
ABCB5,1,ENSG00000004846,340273
ABCB6,1,ENSGALG00010021465,425721
ABCB6,1,ENSDARG00000074254,100004801
ABCB6,1,ENSG00000115657,10058
ABCB7,1,ENSG00000131269,22
ABCB7,1,ENSGALG00010013464,422326
ABCB8,1,ENSG00000197150,11194
ABCB8,1,ENSGALG00010027169,107055879
ABCB9,1,ENSGALG00010024943,416834
ABCB9,1,ENSG00000150967,23457
ABCC1,1,ENSGALG00010020745,395416
ABCC1,1,ENSG00000278183,4363
ABCC10,1,ENSG00000124574,89845
ABCC11,1,ENSG00000121270,85320
ABCC12,1,ENSG00000140798,94160
ABCC2,1,ENSG00000023839,1244
ABCC3,1,ENSG00000108846,8714
ABCC4,1,ENSGALG00010005402,418791
ABCC4,1,ENSG00000125257,10257
ABCC5,1,ENSG00000114770,10057
ABCC5,1,ENSGALG00010017985,424947
ABCC6,1,ENSG00000275331,368
ABCC6,1,ENSGALG00010020803,416600
ABCC8,1,ENSG00000006071,6833
ABCC8,1,ENSDARG00000077007,100329706
ABCC9,1,ENSGALG00010013156,418200
ABCC9,1,ENSG00000069431,10060
ABCD1,1,ENSG00000101986,215
ABCD2,1,ENSG00000173208,225
ABCD2,1,ENSGALG00010008148,417694
ABCD3,1,ENSGALG00010020934,424487
ABCD3,1,ENSG00000117528,5825
ABCD4,1,ENSGALG00010006311,423349
ABCD4,1,ENSG00000119688,5826
ABCF1,1,ENSG00000204574,23
ABCF2,2,ENSG00000033050,10061
ABCF2,2,ENSGALG00010025442,426038
ABCF3,1,ENSG00000161204,55324
ABCF3,1,ENSGALG00010018008,424950
ABCF3,1,ENSDARG00000089705,100331227
ABCG1,1,ENSG00000160179,9619
ABCG1,1,ENSGALG00010011104,418533
ABCG2,1,ENSG00000118777,9429
ABCG2,1,ENSGALG00010020622,423767
ABCG4,1,ENSGALG00010024172,428242
ABCG4,1,ENSG00000172350,64137
ABCG5,6,ENSG00000138075,64240
ABCG5,6,ENSGALG00010020352,421401
ABCG8,1,ENSG00000143921,64241
ABCG8,1,ENSGALG00010020360,421402
ABHD1,1,ENSGALG00010009157,107053155
ABHD1,1,ENSG00000143994,84696
ABHD10,1,ENSGALG00010004487,418419
ABHD10,1,ENSG00000144827,55347
ABHD11,1,ENSG00000106077,83451
ABHD11,1,ENSGALG00010029606,417473
ABHD12,3,ENSGALG00010018399,421249
ABHD12,3,ENSG00000100997,26090
ABHD12B,9,ENSG00000131969,145447
ABHD13,1,ENSGALG00010014965,418763
ABHD13,1,ENSG00000139826,84945
ABHD14A-ACY1,1,ENSG00000114786,100526760
ABHD14B,1,ENSG00000114779,84836
ABHD15,2,ENSG00000168792,116236
ABHD16A,4,ENSG00000204427,7920
ABHD16B,10,ENSG00000183260,140701
ABHD17B,2,ENSGALG00010014176,427252
ABHD17B,2,ENSG00000107362,51104
ABHD17C,2,ENSG00000136379,58489
ABHD2,4,ENSG00000140526,11057
ABHD2,4,ENSGALG00010020147,415493
ABHD3,1,ENSG00000158201,171586
ABHD3,1,ENSGALG00010005109,421068
ABHD4,2,ENSGALG00010016335,420673
ABHD4,2,ENSG00000100439,63874
ABHD5,2,ENSG00000011198,51099
ABHD6,1,ENSGALG00010027118,416009
ABHD6,1,ENSG00000163686,57406
ABHD8,1,ENSG00000127220,79575
ABHD8,1,ENSGALG00010028588,100857580
ABI1,4,ENSG00000136754,10006
ABI2,4,ENSG00000138443,10152
ABI2,4,ENSGALG00010022079,424108
ABI3,9,ENSGALG00010024497,419988
ABI3,9,ENSG00000108798,51225
ABI3BP,8,ENSG00000154175,25890
ABI3BP,8,ENSGALG00010005860,769237
ABL1,5,ENSG00000097007,25
ABL1,5,ENSGALG00010027607,417181
ABL2,5,ENSG00000143322,27
ABLIM2,4,ENSG00000163995,84448
ABLIM2,4,ENSGALG00010009653,422866
ABLIM2,4,ENSDARG00000055223,568454
ABLIM3,4,ENSG00000173210,22885
ABLIM3,4,ENSGALG00010012297,416201
ABR,5,ENSG00000278741,29
ABR,5,ENSGALG00010029718,771897
ABRA,5,ENSG00000174429,137735
ABRA,5,ENSGALG00010013191,430953
ABRACL,2,ENSG00000146386,58527
ABRACL,2,ENSGALG00010005975,770205
ABT1,2,ENSG00000292169,29777
ABTB1,2,ENSG00000114626,80325
ABTB1,2,ENSGALG00010026982,416026
ABTB2,5,ENSGALG00010024886,425717
ABTB2,5,ENSG00000166016,25841
ACAA1,1,ENSG00000060971,30
ACAA1,1,ENSGALG00010026485,770094
ACAA2,1,ENSG00000167315,10449
ACAA2,1,ENSGALG00010010463,426847
ACACA,2,ENSG00000278540,31
ACACA,2,ENSGALG00010029360,396504
ACACB,2,ENSGALG00010021490,430557
ACACB,2,ENSG00000076555,32
ACAD10,1,ENSG00000111271,80724
ACAD11,1,ENSG00000240303,84129
ACAD8,2,ENSG00000151498,27034
ACAD8,2,ENSGALG00010025379,419739
ACAD9,1,ENSG00000177646,28976
ACAD9,1,ENSGALG00010027965,415974
ACADL,1,ENSGALG00010011424,424005
ACADL,1,ENSG00000115361,33
ACADM,1,ENSG00000117054,34
ACADM,1,ENSGALG00010000146,121108947
ACADS,1,ENSGALG00010022862,416969
ACADS,1,ENSG00000122971,35
ACADSB,1,ENSG00000196177,36
ACADSB,1,ENSGALG00010001811,423947
ACADSB,1,ENSDARG00000098174,100037342
ACADVL,1,ENSG00000072778,37
ACAN,7,ENSG00000157766,176
ACAN,7,ENSGALG00010020175,395798
ACAP1,2,ENSG00000288169,9744
ACAP1,2,ENSGALG00010002136,776173
ACAP2,2,ENSGALG00010017500,424895
ACAP2,2,ENSG00000114331,23527
ACAP3,2,ENSGALG00010018308,419420
ACAP3,2,ENSDARG00000075990,322991
ACAP3,2,ENSG00000131584,116983
ACAT1,1,ENSG00000075239,38
ACAT1,1,ENSGALG00010004890,418968
ACAT2,1,ENSGALG00010004446,421587
ACAT2,1,ENSG00000120437,39
ACBD3,4,ENSG00000182827,64746
ACBD3,4,ENSGALG00010017524,421317
ACBD3,4,ENSDARG00000024602,560569
ACBD4,8,ENSG00000181513,79777
ACBD4,8,ENSGALG00010023857,771191
ACBD5,2,ENSGALG00010005349,420488
ACBD5,2,ENSG00000107897,91452
ACBD6,2,ENSG00000230124,100527964
ACBD6,2,ENSGALG00010010849,424416
ACCSL,2,ENSG00000205126,390110
ACD,8,ENSG00000102977,65057
ACE,4,ENSG00000159640,1636
ACE,4,ENSGALG00010023369,419953
ACE2,8,ENSGALG00010001524,418623
ACE2,8,ENSG00000130234,59272
ACER1,8,ENSGALG00010028570,420088
ACER1,8,ENSG00000167769,125981
ACER2,4,ENSGALG00010016314,427235
ACER2,4,ENSG00000177076,340485
ACER3,2,ENSGALG00010002211,419087
ACER3,2,ENSG00000078124,55331
ACIN1,2,ENSG00000100813,22985
ACKR2,9,ENSG00000144648,1238
ACKR2,9,ENSGALG00010027403,425055
ACKR2,9,ENSDARG00000086314,101887081
ACKR3,8,ENSG00000144476,57007
ACKR4,8,ENSG00000129048,51554
ACKR4,8,ENSDARG00000078729,100003167
ACKR4,8,ENSGALG00010018943,100859797
ACMSD,1,ENSG00000153086,130013
ACO1,1,ENSGALG00010009676,373916
ACO1,1,ENSG00000122729,48
ACO2,1,ENSGALG00010012720,374009
ACO2,1,ENSG00000100412,50
ACOT1,1,ENSG00000184227,641371
ACOT11,1,ENSGALG00010025520,429108
ACOT11,1,ENSG00000162390,26027
ACOT12,8,ENSDARG00000054534,100536873
ACOT12,8,ENSG00000172497,134526
ACOT12,8,ENSGALG00010006588,431627
ACOT13,1,ENSG00000112304,55856
ACOT2,1,ENSG00000119673,10965
ACOT4,6,ENSG00000177465,122970
ACOT6,14,ENSG00000205669,641372
ACOT7,1,ENSG00000097021,11332
ACOT7,1,ENSGALG00010019141,419371
ACOT8,1,ENSG00000101473,10005
ACOT8,1,ENSGALG00010015932,419303
ACOT9,2,ENSGALG00010003193,418600
ACOT9,2,ENSG00000123130,23597
ACOX1,2,ENSG00000161533,51
ACOX1,2,ENSGALG00010029755,417366
ACOX2,2,ENSGALG00010020920,416068
ACOX2,2,ENSG00000168306,8309
ACOX3,2,ENSGALG00010009294,422869
ACOX3,2,ENSG00000087008,8310
ACOXL,2,ENSDARG00000020149,569104
ACOXL,2,ENSG00000153093,55289
ACP1,1,ENSGALG00010003833,421909
ACP1,1,ENSG00000143727,52
ACP2,2,ENSG00000134575,53
ACP2,2,ENSGALG00010022727,428864
ACP5,2,ENSG00000102575,54
ACP5,2,ENSGALG00010003260,107057619
ACP6,2,ENSG00000162836,51205
ACP6,2,ENSGALG00010009011,418458
ACR,8,ENSG00000291368,49
ACRBP,9,ENSG00000111644,84519
ACRBP,9,ENSGALG00010021614,418280
ACRV1,10,ENSG00000134940,56
ACSBG1,1,ENSGALG00010024274,415361
ACSBG1,1,ENSG00000103740,23205
ACSBG2,1,ENSGALG00010028562,420090
ACSBG2,1,ENSG00000130377,81616
ACSF2,1,ENSG00000167107,80221
ACSF2,1,ENSGALG00010029650,422102
ACSF3,1,ENSG00000176715,197322
ACSF3,1,ENSGALG00010007944,427561
ACSL1,1,ENSG00000151726,2180
ACSL1,1,ENSGALG00010007007,422547
ACSL3,1,ENSGALG00010025705,424810
ACSL3,1,ENSG00000123983,2181
ACSL5,1,ENSG00000197142,51703
ACSL5,1,ENSGALG00010019785,423896
ACSL6,1,ENSG00000164398,23305
ACSM1,1,ENSG00000166743,116285
ACSM2A,1,ENSG00000183747,123876
ACSM2B,1,ENSG00000066813,348158
ACSM3,1,ENSGALG00010017967,426999
ACSM3,1,ENSG00000005187,6296
ACSM4,1,ENSG00000215009,341392
ACSM5,1,ENSGALG00010016399,426992
ACSM5,1,ENSG00000183549,54988
ACSS1,1,ENSGALG00010018899,416714
ACSS1,1,ENSG00000154930,84532
ACSS2,1,ENSGALG00010023439,419158
ACSS2,1,ENSG00000131069,55902
ACSS3,1,ENSGALG00010012337,417875
ACSS3,1,ENSDARG00000032218,566019
ACSS3,1,ENSG00000111058,79611
ACTA1,2,ENSG00000143632,58
ACTA2,2,ENSGALG00010022071,423787
ACTA2,2,ENSG00000107796,59
ACTB,2,ENSGALG00010021232,396526
ACTB,2,ENSG00000075624,60
ACTBL2,2,ENSG00000169067,345651
ACTC1,2,ENSGALG00010005444,423298
ACTC1,2,ENSG00000159251,70
ACTG1,2,ENSG00000291420,71
ACTG1,2,ENSGALG00010029521,776816
ACTG2,2,ENSGALG00010020613,396084
ACTG2,2,ENSG00000163017,72
ACTL10,11,ENSG00000288649,170487
ACTL6A,2,ENSGALG00010018172,424975
ACTL6A,2,ENSG00000136518,86
ACTL6B,2,ENSG00000077080,51412
ACTL7A,11,ENSG00000187003,10881
ACTL7B,11,ENSG00000148156,10880
ACTL8,12,ENSG00000117148,81569
ACTL9,11,ENSG00000181786,284382
ACTN1,2,ENSGALG00010020389,373918
ACTN1,2,ENSG00000072110,87
ACTN2,2,ENSG00000077522,88
ACTN2,2,ENSGALG00010009118,396263
ACTN4,2,ENSGALG00010009277,396024
ACTN4,2,ENSG00000282844,81
ACTR10,2,ENSGALG00010017435,423543
ACTR10,2,ENSG00000131966,55860
ACTR1A,2,ENSGALG00010018561,423862
ACTR1A,2,ENSG00000138107,10121
ACTR1B,2,ENSG00000291597,10120
ACTR2,2,ENSG00000138071,10097
ACTR2,2,ENSGALG00010016276,396147
ACTR3,2,ENSGALG00010019319,374197
ACTR3,2,ENSG00000115091,10096
ACTR3B,2,ENSG00000133627,57180
ACTR5,2,ENSGALG00010023731,419169
ACTR5,2,ENSG00000101442,79913
ACTR6,2,ENSGALG00010011496,395348
ACTR6,2,ENSG00000075089,64431
ACTR8,2,ENSGALG00010027864,415994
ACTR8,2,ENSG00000113812,93973
ACTRT1,10,ENSG00000123165,139741
ACTRT2,10,ENSG00000169717,140625
ACTRT3,11,ENSG00000184378,84517
ACVR1,4,ENSG00000115170,90
ACVR1B,4,ENSG00000135503,91
ACVR1B,4,ENSGALG00010022190,768878
ACVR1C,4,ENSG00000123612,130399
ACVR1C,4,ENSDARG00000086172,100331105
ACVR1C,4,ENSGALG00010010638,424325
ACVR2A,4,ENSG00000121989,92
ACVR2A,4,ENSGALG00010009474,396324
ACVR2B,4,ENSGALG00010027103,374213
ACVR2B,4,ENSG00000114739,93
ACY3,8,ENSG00000132744,91703
ACYP1,1,ENSG00000119640,97
ACYP1,1,ENSGALG00010006128,423361
ACYP2,1,ENSGALG00010016916,421217
ACYP2,1,ENSG00000170634,98
ADA,1,ENSGALG00010024286,419194
ADA,1,ENSG00000196839,100
ADAD1,8,ENSG00000164113,132612
ADAD1,8,ENSGALG00010004235,107051715
ADAD2,8,ENSG00000140955,161931
ADAL,1,ENSG00000168803,161823
ADAL,1,ENSGALG00010024897,415391
ADAM10,4,ENSG00000137845,102
ADAM10,4,ENSGALG00010025336,374113
ADAM11,6,ENSGALG00010021782,428282
ADAM11,6,ENSG00000073670,4185
ADAM12,4,ENSDARG00000116062,101884222
ADAM12,4,ENSG00000148848,8038
ADAM12,4,ENSGALG00010002570,425843
ADAM15,11,ENSG00000143537,8751
ADAM17,4,ENSGALG00010003348,421931
ADAM17,4,ENSG00000151694,6868
ADAM18,11,ENSG00000278548,8749
ADAM19,4,ENSGALG00010015002,416244
ADAM19,4,ENSG00000135074,8728
ADAM2,9,ENSG00000276286,2515
ADAM20,9,ENSG00000134007,8748
ADAM21,9,ENSG00000139985,8747
ADAM23,6,ENSG00000114948,8745
ADAM23,6,ENSGALG00010026825,424099
ADAM28,8,ENSG00000042980,10863
ADAM28,8,ENSGALG00010019012,419529
ADAM29,9,ENSG00000168594,11086
ADAM30,10,ENSG00000134249,11085
ADAM32,9,ENSG00000275594,203102
ADAM33,4,ENSG00000149451,80332
ADAM33,4,ENSGALG00010018068,422948
ADAM7,10,ENSG00000069206,8756
ADAMDEC1,10,ENSG00000134028,27299
ADAMTS1,5,ENSDARG00000103519,565145
ADAMTS1,5,ENSG00000154734,9510
ADAMTS1,5,ENSGALG00010010659,418479
ADAMTS10,5,ENSGALG00010028549,769592
ADAMTS10,5,ENSG00000142303,81794
ADAMTS12,5,ENSGALG00010013174,427428
ADAMTS12,5,ENSG00000151388,81792
ADAMTS13,8,ENSG00000281244,11093
ADAMTS13,8,ENSGALG00010028869,417152
ADAMTS14,6,ENSG00000138316,140766
ADAMTS14,6,ENSDARG00000078494,101886422
ADAMTS14,6,ENSGALG00010020285,423712
ADAMTS15,5,ENSDARG00000033544,100002059
ADAMTS15,5,ENSGALG00010022967,419733
ADAMTS15,5,ENSG00000166106,170689
ADAMTS16,5,ENSG00000145536,170690
ADAMTS17,4,ENSDARG00000075555,101884120
ADAMTS17,4,ENSGALG00010018887,415515
ADAMTS17,4,ENSG00000140470,170691
ADAMTS18,5,ENSGALG00010007698,100858277
ADAMTS18,5,ENSG00000140873,170692
ADAMTS19,4,ENSG00000145808,171019
ADAMTS19,4,ENSGALG00010009683,415600
ADAMTS2,6,ENSG00000087116,9509
ADAMTS2,6,ENSGALG00010015111,416291
ADAMTS20,5,ENSGALG00010001858,417794
ADAMTS20,5,ENSG00000173157,80070
ADAMTS3,6,ENSGALG00010004385,428760
ADAMTS3,6,ENSG00000156140,9508
ADAMTS4,5,ENSGALG00010027561,100858999
ADAMTS4,5,ENSG00000158859,9507
ADAMTS5,5,ENSG00000154736,11096
ADAMTS5,5,ENSGALG00010010712,427971
ADAMTS6,5,ENSGALG00010012188,427160
ADAMTS6,5,ENSG00000049192,11174
ADAMTS9,5,ENSGALG00010020246,416080
ADAMTS9,5,ENSG00000163638,56999
ADAMTSL1,6,ENSGALG00010016043,431603
ADAMTSL1,6,ENSG00000178031,92949
ADAMTSL2,8,ENSDARG00000074033,100537087
ADAMTSL2,8,ENSGALG00010028876,417147
ADAMTSL2,8,ENSG00000197859,9719
ADAMTSL3,6,ENSGALG00010016874,415465
ADAMTSL3,6,ENSG00000291606,57188
ADAMTSL4,5,ENSG00000143382,54507
ADAMTSL5,7,ENSG00000185761,339366
ADAMTSL5,7,ENSGALG00010027448,427264
ADAP1,4,ENSGALG00010022304,416451
ADAP1,4,ENSG00000105963,11033
ADAR,5,ENSGALG00010027916,769675
ADAR,5,ENSG00000160710,103
ADARB2,2,ENSG00000185736,105
ADARB2,2,ENSDARG00000071823,558149
ADARB2,2,ENSGALG00010004275,420461
ADAT1,2,ENSG00000065457,23536
ADAT1,2,ENSGALG00010008864,415886
ADAT2,1,ENSG00000189007,134637
ADAT3,2,ENSG00000213638,113179
ADCK1,1,ENSG00000063761,57143
ADCK1,1,ENSGALG00010004999,423382
ADCK2,1,ENSG00000133597,90956
ADCK2,1,ENSGALG00010013393,418116
ADCK5,1,ENSG00000285451,203054
ADCY1,4,ENSG00000164742,107
ADCY1,4,ENSGALG00010008388,420788
ADCY10,2,ENSG00000143199,55811
ADCY2,4,ENSDARG00000058392,563724
ADCY2,4,ENSGALG00010000808,420935
ADCY2,4,ENSG00000078295,108
ADCY3,4,ENSGALG00010010724,422013
ADCY3,4,ENSG00000138031,109
ADCY4,4,ENSG00000284814,196883
ADCY5,4,ENSG00000173175,111
ADCY5,4,ENSGALG00010018531,395340
ADCY6,4,ENSDARG00000027797,560807
ADCY6,4,ENSG00000174233,112
ADCY6,4,ENSGALG00010022807,107050028
ADCY7,4,ENSGALG00010024074,415732
ADCY7,4,ENSG00000121281,113
ADCY8,4,ENSG00000155897,114
ADCY8,4,ENSGALG00010007962,420328
ADCY9,4,ENSDARG00000100869,100333702
ADCY9,4,ENSG00000162104,115
ADCY9,4,ENSGALG00010016544,395339
ADCYAP1,8,ENSGALG00010004036,408251
ADCYAP1,8,ENSG00000141433,116
ADCYAP1R1,8,ENSG00000078549,117
ADCYAP1R1,8,ENSGALG00010027355,420386
ADD1,1,ENSGALG00010016011,422882
ADD1,1,ENSG00000087274,118
ADD2,1,ENSGALG00010019291,107054985
ADD2,1,ENSG00000075340,119
ADD3,1,ENSG00000148700,120
ADD3,1,ENSGALG00010020211,373892
ADGB,4,ENSG00000118492,79747
ADGB,4,ENSGALG00010005391,421618
ADH1A,1,ENSG00000187758,124
ADH1B,1,ENSG00000196616,125
ADH4,13,ENSG00000198099,127
ADH5,1,ENSG00000197894,128
ADH6,1,ENSG00000172955,130
ADH6,1,ENSGALG00010004716,395979
ADH7,11,ENSG00000196344,131
ADHFE1,1,ENSG00000147576,137872
ADHFE1,1,ENSGALG00010002884,426446
ADI1,1,ENSGALG00010003471,421918
ADI1,1,ENSG00000182551,55256
ADIG,13,ENSG00000182035,149685
ADIPOQ,8,ENSGALG00010025618,404536
ADIPOQ,8,ENSG00000181092,9370
ADIPOR1,1,ENSGALG00010024810,421148
ADIPOR1,1,ENSG00000159346,51094
ADIPOR2,1,ENSGALG00010013910,418155
ADIPOR2,1,ENSG00000285070,79602
ADIRF,11,ENSG00000148671,10974
ADK,2,ENSG00000156110,132
ADK,2,ENSGALG00010022429,423735
ADM,8,ENSG00000148926,133
ADM2,15,ENSDARG00000078875,100322075
ADM2,15,ENSG00000128165,79924
ADM2,15,ENSGALG00010006410,112532887
ADNP,8,ENSGALG00010014260,419350
ADNP,8,ENSG00000101126,23394
ADNP2,5,ENSG00000101544,22850
ADNP2,5,ENSGALG00010008011,420805
ADO,2,ENSG00000181915,84890
ADORA1,6,ENSGALG00010024589,374212
ADORA1,6,ENSDARG00000070056,100007535
ADORA1,6,ENSG00000163485,134
ADORA2A,4,ENSG00000128271,135
ADORA2A,4,ENSGALG00010026448,427705
ADORA2B,7,ENSGALG00010029723,395971
ADORA2B,7,ENSG00000170425,136
ADORA3,11,ENSG00000282608,140
ADPGK,2,ENSGALG00010021594,415317
ADPGK,2,ENSG00000159322,83440
ADPRH,5,ENSG00000144843,141
ADPRH,5,ENSGALG00010008318,418452
ADPRHL1,8,ENSG00000153531,113622
ADPRHL2,1,ENSGALG00010018267,419626
ADPRM,1,ENSGALG00010029563,768578
ADPRM,1,ENSG00000170222,56985
ADRA1B,4,ENSG00000170214,147
ADRA1B,4,ENSGALG00010009333,373890
ADRA1D,4,ENSG00000171873,146
ADRA2A,6,ENSG00000150594,150
ADRA2B,6,ENSGALG00010020111,426044
ADRA2B,6,ENSG00000274286,151
ADRA2C,6,ENSGALG00010016648,428799
ADRA2C,6,ENSG00000184160,152
ADRB1,8,ENSG00000043591,153
ADRB2,7,ENSG00000169252,154
ADRB3,9,ENSG00000188778,155
ADRB3,9,ENSGALG00010017438,430991
ADSL,1,ENSGALG00010013095,396540
ADSL,1,ENSG00000239900,158
ADTRP,3,ENSG00000111863,84830
AEBP1,8,ENSGALG00010019072,100859431
AEBP1,8,ENSG00000106624,165
AEN,2,ENSG00000181026,64782
AFAP1,7,ENSG00000196526,60312
AFAP1,7,ENSGALG00010009608,374034
AFAP1L1,8,ENSG00000157510,134265
AFAP1L1,8,ENSGALG00010011745,427621
AFF1,4,ENSG00000172493,4299
AFF2,4,ENSG00000155966,2334
AFF3,4,ENSGALG00010015886,418705
AFF3,4,ENSG00000144218,3899
AFF4,4,ENSG00000072364,27125
AFF4,4,ENSGALG00010013737,416337
AFG3L2,1,ENSG00000141385,10939
AFG3L2,1,ENSGALG00010001199,421036
AFM,10,ENSG00000079557,173
AFMID,1,ENSG00000183077,125061
AFMID,1,ENSGALG00010029330,769005
AFP,9,ENSGALG00010005094,422652
AFP,9,ENSG00000081051,174
AFTPH,6,ENSGALG00010017141,421277
AFTPH,6,ENSG00000119844,54812
AGA,2,ENSG00000038002,175
AGA,2,ENSGALG00010004457,422558
AGAP1,4,ENSG00000157985,116987
AGAP1,4,ENSGALG00010012571,424024
AGAP2,4,ENSG00000135439,116986
AGAP3,4,ENSG00000133612,116988
AGAP3,4,ENSDARG00000087822,324332
AGAP3,4,ENSGALG00010024966,768507
AGAP5,4,ENSG00000172650,729092
AGAP6,4,ENSG00000204149,414189
AGAP9,4,ENSG00000204172,642517
AGBL1,2,ENSG00000273540,123624
AGBL1,2,ENSDARG00000104384,100536841
AGBL1,2,ENSGALG00010020345,427507
AGBL2,2,ENSGALG00010021737,426630
AGBL2,2,ENSG00000285501,79841
AGBL3,2,ENSG00000146856,340351
AGBL4,2,ENSG00000186094,84871
AGBL5,2,ENSGALG00010009089,770678
AGBL5,2,ENSG00000084693,60509
AGER,10,ENSG00000231268,177
AGFG2,2,ENSG00000106351,3268
AGGF1,3,ENSG00000164252,55109
AGGF1,3,ENSGALG00010010457,416364
AGK,4,ENSG00000006530,55750
AGK,4,ENSGALG00010013561,418121
AGMAT,1,ENSG00000116771,79814
AGMAT,1,ENSGALG00010020903,373942
AGMO,1,ENSGALG00010004109,772374
AGMO,1,ENSG00000187546,392636
AGO1,2,ENSGALG00010014990,428222
AGO1,2,ENSG00000092847,26523
AGO2,2,ENSGALG00010009068,100858102
AGO2,2,ENSG00000123908,27161
AGO3,2,ENSGALG00010014949,419628
AGO3,2,ENSG00000126070,192669
AGO4,2,ENSGALG00010015009,419629
AGO4,2,ENSG00000134698,192670
AGPAT1,1,ENSG00000236873,10554
AGPAT2,1,ENSG00000169692,10555
AGPAT2,1,ENSGALG00010028918,772114
AGPAT3,2,ENSG00000160216,56894
AGPAT3,2,ENSGALG00010011961,418550
AGPAT4,2,ENSG00000026652,56895
AGPAT4,2,ENSGALG00010006227,421578
AGPAT5,2,ENSGALG00010002239,421898
AGPAT5,2,ENSG00000284980,55326
AGPS,1,ENSG00000018510,8540
AGPS,1,ENSGALG00010024011,424135
AGR2,8,ENSG00000106541,10551
AGR2,8,ENSGALG00010004377,420596
AGR3,8,ENSGALG00010004391,420597
AGR3,8,ENSG00000173467,155465
AGRN,2,ENSGALG00010021766,396538
AGRN,2,ENSG00000188157,375790
AGRP,8,ENSG00000159723,181
AGT,8,ENSGALG00010007759,421543
AGT,8,ENSG00000135744,183
AGTPBP1,2,ENSGALG00010008636,427460
AGTPBP1,2,ENSG00000135049,23287
AGTR1,8,ENSGALG00010017056,396065
AGTR1,8,ENSG00000144891,185
AGTR2,8,ENSG00000180772,186
AGTRAP,15,ENSG00000177674,57085
AGTRAP,15,ENSGALG00010017615,419491
AGXT,1,ENSG00000172482,189
AGXT,1,ENSGALG00010024959,770344
AGXT2,1,ENSGALG00010013296,431666
AGXT2,1,ENSG00000113492,64902
AHCY,1,ENSG00000101444,191
AHCY,1,ENSGALG00010024732,419146
AHCYL1,4,ENSG00000168710,10768
AHCYL1,4,ENSGALG00010024459,419803
AHCYL2,4,ENSG00000158467,23382
AHCYL2,4,ENSGALG00010005511,416675
AHDC1,8,ENSGALG00010016852,112530201
AHDC1,8,ENSG00000126705,27245
AHI1,2,ENSGALG00010005462,421693
AHI1,2,ENSG00000135541,54806
AHNAK,2,ENSG00000124942,79026
AHNAK2,2,ENSG00000185567,113146
AHR,4,ENSG00000106546,196
AHRR,8,ENSG00000063438,57491
AHRR,8,ENSGALG00010008251,420989
