Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
AKR1D1	3.8e-05	1.0	200.5	-7.65
OTC	2.0e-05	1.0	188.9	-7.56
ADH1B	5.3e-06	12.6	2151.4	-7.42
HJV	5.8e-12	1.0	167.5	-7.39
ACSM5	1.8e-06	1.1	181.1	-7.37
SLCO1B1	1.5e-05	1.0	159.5	-7.32
EEF1A2	5.6e-05	180.3	1.2	7.28
TTR	1.7e-05	110.2	16880.2	-7.26
MASP2	6.5e-08	1.4	215.3	-7.24
UPB1	1.5e-05	1.0	149.0	-7.22
UGT2B4	3.5e-04	5.2	752.3	-7.19
FETUB	7.7e-07	1.0	145.8	-7.19
KRT23	7.4e-05	142.1	1.0	7.15
GNMT	4.0e-04	1.8	257.9	-7.14
C8A	8.5e-07	3.4	476.8	-7.12
LAMC2	2.1e-07	166.9	1.2	7.07
ITIH5	5.0e-05	240.3	1.8	7.03
ASPDH	1.3e-08	1.6	204.7	-7.01
MTTP	1.7e-07	1.0	129.1	-7.01
APOH	8.9e-10	87.5	11170.3	-7.00
MAT1A	9.4e-07	10.1	1250.9	-6.95
AQP9	2.8e-08	3.1	372.9	-6.93
ITIH3	2.2e-04	10.4	1258.6	-6.92
SPP1	9.4e-05	3148.6	26.6	6.89
USH1C	3.5e-10	134.2	1.2	6.84
DMGDH	1.1e-06	1.2	135.0	-6.80
PRG4	5.5e-04	1.0	109.5	-6.78
GLYATL1	4.0e-06	2.0	220.4	-6.77
SFN	8.2e-08	108.0	1.0	6.75
UROC1	4.2e-04	1.0	103.4	-6.69
SCTR	8.0e-06	143.4	1.4	6.68
HAL	7.7e-04	1.1	113.8	-6.66
RAB25	1.0e-11	317.1	3.1	6.66
SLC27A5	8.6e-07	6.6	666.7	-6.66
RBP4	8.0e-08	130.9	13214.8	-6.66
F13B	4.6e-07	1.0	100.4	-6.65
ITGB4	5.6e-09	138.0	1.4	6.64
SEZ6L2	5.2e-12	99.8	1.0	6.64
AGXT2	2.9e-10	1.0	99.8	-6.64
MISP	2.4e-06	97.8	1.0	6.61
ACSM2A	2.7e-06	2.7	266.9	-6.61
C12orf75	1.5e-07	209.1	2.2	6.59
INHBC	1.1e-05	1.5	143.8	-6.58
PGLYRP2	2.1e-05	4.1	389.2	-6.57
CCL16	1.0e-04	1.0	94.8	-6.57
SLC34A2	1.5e-06	94.1	1.0	6.56
FMO3	8.5e-06	7.7	719.4	-6.54
TDO2	3.0e-05	7.7	717.5	-6.54
GCGR	6.4e-05	1.0	92.1	-6.53
AP1M2	7.5e-10	91.3	1.0	6.51
MMP7	1.3e-04	394.5	4.4	6.49
EPS8L3	2.6e-09	89.8	1.0	6.49
CYP4A11	6.8e-06	9.8	883.7	-6.49
ITIH1	2.0e-07	21.4	1898.6	-6.47
PDZK1IP1	2.7e-04	309.6	3.6	6.45
SPINT1	5.5e-14	342.6	4.0	6.43
BHMT2	1.2e-05	4.3	364.4	-6.41
LINC01093	3.2e-05	1.0	83.4	-6.38
MOGAT2	5.6e-05	1.0	83.0	-6.38
TMEM132A	9.3e-05	80.2	1.0	6.33
LINC01485	7.7e-04	1.8	145.7	-6.32
LINC01018	6.5e-07	1.0	79.6	-6.32
NQO1	1.3e-05	120.6	1.5	6.31
CFHR5	1.5e-04	1.0	78.1	-6.29
EPCAM	4.9e-13	646.4	8.3	6.29
PLPP2	1.6e-11	374.0	4.9	6.26
ACSM2B	2.2e-06	4.1	305.9	-6.24
BCHE	9.8e-06	2.1	155.6	-6.24
ADH1C	1.6e-05	16.1	1215.2	-6.24
ACOT12	1.3e-05	1.0	74.9	-6.23
TESC	5.5e-06	340.1	4.5	6.23
PROZ	2.2e-04	1.0	74.3	-6.22
NAT2	1.0e-05	1.0	72.5	-6.18
DCDC2	1.9e-09	206.4	2.8	6.18
PIPOX	6.9e-07	5.6	403.3	-6.17
B3GNT3	2.3e-09	94.6	1.3	6.15
PMEPA1	5.8e-08	194.5	2.7	6.15
FAM99A	1.9e-04	1.0	70.3	-6.13
PON1	4.9e-06	6.5	457.6	-6.13
CYP2C8	4.8e-08	20.0	1382.2	-6.11
ESRP1	3.8e-12	69.0	1.0	6.11
DMKN	7.2e-07	208.6	3.1	6.09
PRODH2	1.7e-06	2.5	169.9	-6.08
MMP11	1.7e-04	116.0	1.7	6.05
OIT3	5.5e-04	1.0	65.8	-6.04
DIO1	1.1e-04	2.0	130.0	-6.01
BAIAP2L2	1.5e-08	70.7	1.1	6.01
HGFAC	1.1e-07	4.4	279.0	-6.00
KRT19	2.6e-05	725.1	11.4	5.99
FGB	1.2e-04	113.2	7208.2	-5.99
S100A6	3.3e-06	5167.3	81.8	5.98
ABCB4	3.4e-05	1.0	63.3	-5.98
NEURL3	1.7e-06	92.2	1.5	5.97
NR1I2	2.7e-06	1.0	62.4	-5.96
CLDN4	1.0e-07	396.1	6.5	5.93
C8B	1.7e-05	8.2	496.0	-5.93
CLEC4G	7.4e-04	1.0	60.3	-5.91
SERPINA7	4.8e-06	2.9	174.1	-5.89
TMC4	1.3e-12	215.5	3.6	5.89
UBE2C	9.9e-07	57.5	1.0	5.85
CRHBP	5.4e-04	1.0	57.1	-5.84
ORM1	3.7e-04	219.3	12538.6	-5.84
UGT2B7	4.8e-05	17.2	987.0	-5.84
AKR1C4	3.7e-04	4.0	221.9	-5.80
LPA	2.8e-07	1.0	55.7	-5.80
APOC1	3.8e-06	102.1	5537.2	-5.76
CES1	6.4e-04	44.7	2383.4	-5.74
VTCN1	2.3e-05	101.2	1.9	5.74
PFKP	2.0e-09	117.2	2.2	5.73
NR1I3	1.7e-06	2.0	105.9	-5.72
SYT13	3.0e-04	52.3	1.0	5.71
SH2D3A	4.9e-12	73.6	1.4	5.71
LYPD6B	1.7e-05	52.1	1.0	5.70
PKP3	4.5e-07	51.2	1.0	5.68
CYP2C9	2.0e-05	18.1	920.4	-5.67
RHOV	3.6e-07	50.9	1.0	5.67
ASPG	2.8e-07	1.0	50.9	-5.67
CFHR4	2.5e-04	1.0	50.6	-5.66
DBN1	1.5e-11	158.2	3.1	5.66
ACOX2	7.4e-07	3.6	181.4	-5.66
PKM	3.5e-12	1146.0	23.1	5.63
ALB	7.3e-07	2881.2	141059.4	-5.61
MELTF	4.4e-07	55.7	1.1	5.61
EPS8L1	4.0e-09	79.1	1.6	5.61
F12	1.8e-06	12.2	590.6	-5.59
LINC01146	2.7e-05	1.4	67.6	-5.59
AOX1	2.8e-05	9.5	456.0	-5.58
TMEM82	2.0e-06	1.0	47.6	-5.57
CD24	9.4e-09	450.8	9.5	5.57
TTC36	1.2e-04	1.0	47.5	-5.57
PLA2G12B	1.9e-09	1.0	47.2	-5.56
ADH6	9.4e-06	7.7	351.5	-5.51
SLC6A12	6.1e-04	1.0	45.6	-5.51
PRSS22	4.8e-08	67.3	1.5	5.50
CYP4F2	2.5e-05	4.4	199.0	-5.50
FGA	6.0e-05	260.3	11667.7	-5.49
TSPAN15	1.5e-09	250.8	5.6	5.48
SERPINA10	5.7e-11	2.9	129.2	-5.46
ORM2	3.6e-04	66.2	2906.8	-5.46
HPGD	1.0e-04	3.2	138.7	-5.45
ASPHD1	5.6e-08	43.6	1.0	5.45
UGT1A4	6.2e-04	1.0	43.3	-5.43
HKDC1	7.5e-07	69.3	1.6	5.41
AMDHD1	9.9e-05	2.4	103.7	-5.41
POF1B	3.1e-11	41.2	1.0	5.37
KRT80	4.9e-06	65.1	1.6	5.37
DDR1	8.3e-12	298.7	7.3	5.36
CTHRC1	1.0e-05	40.9	1.0	5.36
BICC1	8.8e-10	118.3	2.9	5.35
CCL20	6.3e-04	86.3	2.1	5.34
SLC38A3	6.8e-06	10.6	431.3	-5.34
SLCO1B3	9.6e-04	1.0	40.1	-5.33
HNF4A-AS1	6.7e-05	1.0	39.9	-5.32
BICDL2	5.4e-08	40.0	1.0	5.32
ABCG5	8.2e-08	1.1	44.0	-5.31
ANXA3	8.5e-12	127.5	3.3	5.29
NEU4	5.3e-04	1.0	39.0	-5.29
ALDH1L1	1.8e-04	10.5	409.6	-5.28
C6	8.6e-08	10.5	401.6	-5.26
SGPP2	3.6e-08	38.2	1.0	5.26
ANO9	1.4e-09	43.4	1.1	5.26
LAMB3	6.5e-08	193.4	5.2	5.22
ZG16B	1.8e-04	37.2	1.0	5.22
SPINT2	1.4e-11	168.7	4.6	5.21
PRR15L	4.7e-08	83.2	2.3	5.20
LINC02499	3.1e-04	1.0	36.7	-5.20
UGT1A1	6.6e-04	2.1	77.2	-5.20
ELOVL7	3.8e-07	36.4	1.0	5.19
ALDH8A1	8.7e-08	5.1	183.0	-5.18
GPR35	1.2e-08	36.0	1.0	5.17
ABCG8	2.3e-06	1.0	35.9	-5.17
EHF	1.3e-08	35.9	1.0	5.17
CDH6	2.0e-05	35.5	1.0	5.15
CENPM	4.9e-10	35.1	1.0	5.13
PLEKHB1	5.2e-07	86.5	2.5	5.12
UCA1	8.1e-04	34.8	1.0	5.12
RHPN1	1.1e-09	36.7	1.1	5.12
PTK7	6.8e-08	44.6	1.3	5.11
CYP39A1	1.6e-05	1.7	58.3	-5.09
LPAR2	2.4e-12	64.6	1.9	5.09
CTNND2	9.8e-08	33.2	1.0	5.05
KLK11	1.0e-04	33.2	1.0	5.05
TTC39A	2.6e-05	33.0	1.0	5.05
LOXL4	3.4e-07	65.9	2.0	5.05
UNC13D	1.5e-08	120.8	3.7	5.04
CDR2L	4.6e-11	48.1	1.5	5.04
TMEM125	9.0e-09	33.0	1.0	5.04
GBP7	1.0e-04	1.0	32.7	-5.03
STK39	4.4e-11	32.7	1.0	5.03
NPNT	7.0e-07	60.8	1.9	5.03
ARL14	4.7e-07	32.0	1.0	5.00
WNK2	5.2e-06	47.5	1.5	4.99
ADGRG1	4.9e-11	179.7	5.6	4.99
GAL3ST1	5.5e-07	125.1	4.0	4.98
PLP2	1.1e-11	230.3	7.4	4.97
CA5A	1.6e-04	1.0	31.4	-4.97
CLDN10	8.2e-07	93.1	3.0	4.97
SMIM22	6.7e-05	31.0	1.0	4.95
MDFI	1.3e-05	30.9	1.0	4.95
COMP	1.9e-04	31.0	1.0	4.95
SLC22A9	7.6e-07	1.0	30.7	-4.94
LINC00665	1.8e-07	34.7	1.1	4.92
MTCL1	1.2e-07	30.2	1.0	4.92
AQP1	5.3e-06	939.2	31.5	4.90
LINC02027	9.7e-06	1.0	29.6	-4.88
ASGR1	6.7e-07	35.6	1049.2	-4.88
SLFN13	3.4e-10	29.5	1.0	4.88
NECTIN4	5.6e-04	29.1	1.0	4.87
MAPK13	3.2e-14	47.3	1.6	4.87
CYP4F3	8.4e-07	4.8	141.3	-4.87
UBE2T	1.4e-09	29.0	1.0	4.86
IGSF3	2.4e-11	29.0	1.0	4.86
SERPINF2	3.2e-11	66.1	1914.6	-4.86
ITGA3	1.7e-05	68.6	2.4	4.86
INAVA	3.0e-08	28.9	1.0	4.85
SPECC1	8.0e-09	28.7	1.0	4.84
ABCA6	4.3e-07	1.5	42.7	-4.84
CDC20	3.6e-06	28.4	1.0	4.83
ACSL1	4.7e-06	26.1	741.7	-4.83
LINC01948	3.0e-09	34.8	1.2	4.83
SLC17A2	3.9e-08	1.7	48.7	-4.83
SLC47A1	1.7e-05	3.0	84.4	-4.83
ITPR3	1.8e-10	28.5	1.0	4.83
CCDC74A	5.3e-09	28.2	1.0	4.82
KRT7	1.0e-09	653.8	23.2	4.82
MDK	4.6e-04	246.6	8.8	4.81
ANKRD1	2.5e-04	27.7	1.0	4.79
MYOF	1.5e-09	51.3	1.9	4.79
FBLIM1	5.8e-10	112.3	4.1	4.79
DLG3	7.5e-14	29.5	1.1	4.78
SCRN1	1.5e-09	46.9	1.7	4.76
PAQR5	1.0e-08	27.1	1.0	4.76
GSTP1	2.7e-05	1489.3	54.9	4.76
PTTG1	1.3e-06	35.7	1.3	4.76
C1orf116	6.0e-06	27.0	1.0	4.76
PPP1R1A	7.5e-05	5.3	144.0	-4.76
B4GALNT4	6.3e-06	26.9	1.0	4.75
CXCL1	2.0e-06	103.6	3.9	4.72
SLC38A1	1.9e-10	79.3	3.0	4.72
GABBR1	3.3e-10	39.6	1.5	4.71
CCNB1	6.8e-12	31.7	1.2	4.71
S100A11	3.3e-11	2100.4	80.5	4.71
CSGALNACT1	3.0e-06	52.5	2.0	4.70
BACE2	1.1e-07	52.8	2.0	4.70
SNAP25	2.0e-05	35.8	1.4	4.69
PROM1	1.6e-05	49.6	1.9	4.68
ABAT	2.7e-08	9.9	255.1	-4.68
CDCP1	4.1e-05	25.5	1.0	4.67
TNFRSF19	3.2e-06	26.0	1.0	4.67
APCDD1	7.7e-06	39.0	1.5	4.66
PRSS16	2.9e-10	25.3	1.0	4.66
UGT3A1	1.8e-04	1.0	25.2	-4.65
CHD3	1.4e-11	70.9	2.8	4.65
COL15A1	1.2e-06	24.9	1.0	4.64
CAPG	2.4e-09	178.7	7.2	4.63
SLC6A8	1.0e-07	36.5	1.5	4.62
CLIP2	1.6e-14	49.1	2.0	4.62
KCNQ1	1.7e-06	37.1	1.5	4.62
CFAP221	4.0e-09	24.3	1.0	4.60
ABCB11	1.1e-05	1.0	24.0	-4.59
SLC6A1	5.9e-05	2.8	67.8	-4.58
RAB34	1.0e-08	148.3	6.2	4.58
IL27	3.5e-04	1.0	23.8	-4.57
PFKFB1	8.0e-07	1.0	23.6	-4.56
SLC25A18	3.7e-05	1.9	45.0	-4.56
TEAD2	6.4e-10	67.7	2.9	4.55
TOP2A	7.1e-08	23.4	1.0	4.55
CDT1	1.3e-11	23.4	1.0	4.55
GALNT3	3.7e-06	27.9	1.2	4.54
HID1	2.0e-09	63.8	2.7	4.54
GMNN	1.2e-08	271.5	11.7	4.54
PAFAH1B3	4.5e-11	68.0	2.9	4.53
VEPH1	2.7e-07	23.1	1.0	4.53
COL4A2	5.9e-11	270.6	11.8	4.52
EVA1A	1.7e-06	3.4	78.4	-4.52
NRSN2	2.1e-11	69.8	3.0	4.52
CDK1	5.7e-09	22.8	1.0	4.51
SLC16A3	2.1e-06	51.5	2.3	4.51
PROM2	9.8e-05	22.8	1.0	4.51
SARDH	1.2e-08	5.9	135.3	-4.51
SLC12A2	1.1e-04	75.0	3.3	4.51
HMGA1	4.4e-07	281.3	12.4	4.51
FXYD2	6.1e-04	32.7	1.4	4.51
FTCD	7.8e-08	39.6	889.6	-4.49
ANXA13	1.6e-05	273.1	12.2	4.49
SOX9	2.6e-09	113.9	5.1	4.49
TNNT1	1.1e-04	22.4	1.0	4.48
PTP4A3	4.6e-12	41.6	1.9	4.47
EHHADH	4.0e-06	9.3	206.5	-4.47
C4orf48	7.2e-07	24.0	1.1	4.46
ECT2	2.0e-09	22.0	1.0	4.46
MTMR11	1.8e-05	45.8	2.1	4.46
LOXL2	5.0e-08	23.3	1.1	4.46
AZGP1	2.8e-09	136.4	2997.7	-4.46
TMEM156	1.2e-07	45.6	2.1	4.46
KLKB1	8.2e-08	8.7	189.2	-4.45
LPCAT4	9.9e-12	50.8	2.3	4.45
DNASE1L3	2.6e-04	4.1	89.7	-4.44
MMP14	2.1e-12	289.3	13.4	4.43
BEX2	1.3e-11	32.0	1.5	4.43
PLCD3	2.8e-10	21.5	1.0	4.43
CACNB3	4.7e-08	21.5	1.0	4.42
NFE2L3	4.3e-10	28.7	1.4	4.39
ANG	2.4e-11	28.6	600.6	-4.39
VAV3	1.3e-06	21.0	1.0	4.39
MST1R	1.9e-07	21.0	1.0	4.39
PDGFD	4.2e-07	60.6	2.9	4.39
HOMER3	2.2e-09	29.3	1.4	4.39
BIRC5	3.8e-08	20.9	1.0	4.39
PYCR1	1.6e-05	33.1	1.6	4.39
CCDC9B	6.2e-09	43.6	2.1	4.38
RRM2	4.4e-09	22.3	1.1	4.38
ASF1B	5.2e-09	20.8	1.0	4.38
RMI2	2.3e-10	24.5	1.2	4.37
IQCE	1.9e-15	45.9	2.2	4.37
SLC52A3	7.2e-08	20.5	1.0	4.36
ABCC4	4.8e-09	24.1	1.2	4.36
BCAS4	8.0e-07	30.8	1.5	4.36
ADRA2C	1.0e-05	20.5	1.0	4.36
MYBL2	6.9e-08	20.5	1.0	4.36
TTPA	1.3e-05	3.2	65.9	-4.36
PSORS1C1	1.3e-09	20.5	1.0	4.36
MIR4435-2HG	3.5e-13	21.3	1.0	4.35
CCNB2	7.5e-09	20.4	1.0	4.35
FKBP10	6.2e-10	147.4	7.2	4.35
WFDC2	8.8e-05	72.0	3.5	4.34
ALOX5	1.2e-05	53.6	2.6	4.34
GULP1	5.9e-06	20.2	1.0	4.34
C2	2.2e-11	9.6	194.0	-4.33
TMED3	8.3e-17	170.7	8.5	4.33
RBP5	2.4e-06	13.0	263.1	-4.33
C4BPA	1.4e-07	50.9	1024.3	-4.33
CARD11	1.1e-07	20.8	1.0	4.32
AMBP	3.2e-08	630.2	12566.9	-4.32
ZNF185	7.1e-08	21.3	1.1	4.32
DCXR	5.7e-05	103.0	2062.0	-4.32
WNT7B	5.1e-08	19.8	1.0	4.31
TREM2	7.9e-07	22.2	1.1	4.30
LRRC1	6.7e-14	19.7	1.0	4.30
CRACR2B	2.4e-09	45.7	2.3	4.30
TMEM51	3.1e-10	47.0	2.4	4.30
AURKB	4.3e-07	19.8	1.0	4.30
TPBG	2.8e-09	19.6	1.0	4.29
SEL1L3	1.2e-09	114.5	5.8	4.29
NCEH1	6.1e-08	36.1	1.9	4.29
F7	7.8e-09	7.4	144.1	-4.29
PHLDA3	6.6e-12	82.0	4.2	4.28
ETV4	4.5e-06	35.8	1.8	4.28
ZG16	9.4e-06	1.0	19.2	-4.26
ZDHHC1	1.2e-11	50.7	2.6	4.26
LAMA3	1.3e-05	20.9	1.1	4.26
GRHL2	1.6e-07	19.1	1.0	4.26
HAGHL	4.4e-06	19.0	1.0	4.25
ABCA8	6.3e-07	1.0	19.2	-4.25
GLTPD2	5.8e-06	2.6	49.7	-4.25
CDC42BPG	6.5e-11	19.1	1.0	4.25
FRAS1	1.0e-05	18.9	1.0	4.24
NOTCH3	4.3e-08	44.6	2.4	4.24
TNFAIP6	1.1e-04	18.9	1.0	4.24
ADAP1	8.3e-09	21.1	1.1	4.23
TCTN2	1.2e-10	22.1	1.2	4.22
PDLIM7	2.8e-09	112.5	6.1	4.21
ENTPD2	2.1e-08	20.9	1.1	4.21
MST1	2.7e-07	12.4	227.9	-4.20
HOPX	2.3e-05	28.8	1.6	4.20
CPNE7	2.5e-05	18.4	1.0	4.20
LAD1	1.3e-11	304.5	16.7	4.19
LDAF1	1.1e-09	39.0	2.1	4.19
BSPRY	4.3e-09	18.2	1.0	4.18
S100A14	8.2e-07	359.5	19.9	4.18
SULF1	3.0e-06	39.5	2.2	4.17
UBASH3B	4.7e-07	18.0	1.0	4.17
KIFC1	3.5e-10	18.0	1.0	4.17
CRMP1	6.0e-09	30.4	1.7	4.17
ITGB8	5.4e-08	18.0	1.0	4.17
RASEF	3.0e-10	17.9	1.0	4.16
ACADSB	6.3e-07	11.2	200.5	-4.16
PON3	5.3e-05	22.6	406.1	-4.16
ZDHHC13	3.6e-15	27.3	1.5	4.15
PVT1	4.1e-06	17.7	1.0	4.15
CMTM4	8.1e-12	28.2	1.6	4.15
TLCD3A	2.1e-12	30.8	1.7	4.15
APOE	2.1e-07	472.3	8320.4	-4.14
KCTD17	1.2e-08	44.4	2.5	4.14
LDOC1	4.9e-08	29.7	1.7	4.13
CHAD	9.2e-05	1.0	17.6	-4.13
ELF4	9.0e-13	20.6	1.2	4.13
LOXL1	1.9e-06	18.0	1.0	4.13
PDGFA	5.6e-08	54.0	3.1	4.13
ST14	1.5e-11	184.6	10.6	4.12
APOB	1.5e-05	52.7	918.9	-4.12
KMO	4.0e-06	1.0	17.4	-4.12
MFSD6	1.7e-11	29.6	1.7	4.12
MAPK15	3.2e-07	17.3	1.0	4.11
LEAP2	7.8e-04	16.7	288.8	-4.11
HDAC7	2.0e-14	85.0	5.0	4.10
PROC	1.8e-16	28.1	482.0	-4.10
TFR2	5.5e-12	45.0	771.9	-4.10
E2F1	2.9e-10	17.1	1.0	4.10
SPINT1-AS1	8.2e-11	17.1	1.0	4.10
GHR	5.5e-04	7.3	124.9	-4.10
FLNA	1.3e-10	410.6	24.0	4.09
CDKN2A	4.6e-05	16.9	1.0	4.08
CP	1.4e-04	30.8	521.5	-4.08
CTBP2	7.5e-14	25.2	1.5	4.08
CERCAM	4.8e-09	56.7	3.4	4.08
MASP1	1.9e-08	7.1	120.3	-4.07
ITGA2	4.7e-06	16.8	1.0	4.07
TCF19	1.2e-10	16.6	1.0	4.06
CPN1	8.0e-06	3.7	62.2	-4.06
SLC7A1	1.8e-07	16.7	1.0	4.06
SOX4	8.3e-10	96.7	5.8	4.06
LGALS3	5.7e-07	336.9	20.4	4.05
ILDR1	7.8e-08	16.5	1.0	4.05
DTX3	1.2e-10	55.6	3.3	4.05
PKHD1	1.1e-07	22.2	1.3	4.05
C6orf132	3.0e-11	16.6	1.0	4.05
FBP1	1.4e-05	25.4	416.9	-4.04
SFXN3	4.9e-12	75.2	4.6	4.04
C6orf141	2.3e-04	24.0	1.5	4.03
TMSB10	5.8e-11	8395.6	512.6	4.03
IGF2BP2	2.0e-09	16.3	1.0	4.03
FA2H	5.3e-05	16.2	1.0	4.02
SLC44A3	2.1e-08	97.5	6.0	4.02
LRFN4	2.0e-04	16.2	1.0	4.02
CDKN3	6.3e-08	16.2	1.0	4.02
PPP1R13L	7.5e-08	66.0	4.1	4.02
CTH	6.4e-05	4.3	68.8	-4.01
RHBDF2	3.0e-10	60.6	3.8	4.01
KIAA1522	7.8e-13	127.0	7.9	4.01
FGG	1.4e-04	632.5	10227.8	-4.01
ATF5	2.9e-04	38.3	617.8	-4.01
SLC6A6	1.8e-07	21.8	1.4	4.01
ARMCX2	3.6e-10	30.0	1.9	4.01
NUGGC	5.8e-05	1.0	16.1	-4.01
PLK1	8.8e-06	16.1	1.0	4.01
TPM2	5.6e-04	212.1	13.3	4.00
SOGA1	1.3e-15	16.0	1.0	4.00
ZWINT	6.7e-10	32.3	2.0	4.00
SLC6A13	2.8e-05	1.0	16.0	-4.00
LIF	9.6e-06	33.7	2.1	4.00
CDCA5	1.4e-11	15.9	1.0	3.99
ADAM9	1.4e-11	118.9	7.5	3.99
KLB	8.3e-04	1.0	15.9	-3.99
HSD11B1	3.0e-06	35.4	562.5	-3.99
HNF1B	1.3e-07	197.7	12.4	3.99
TEAD4	6.6e-16	35.7	2.2	3.99
WDR54	3.4e-12	42.5	2.7	3.99
MGAT5	9.0e-09	26.3	1.7	3.98
NRARP	3.2e-07	29.4	1.9	3.98
SLC25A24	1.6e-11	21.8	1.4	3.98
CLEC1B	8.2e-04	1.0	15.8	-3.98
LIMK1	1.0e-10	39.7	2.5	3.98
COL9A2	8.6e-04	15.8	1.0	3.98
GPLD1	5.9e-04	1.1	17.8	-3.97
MCM2	2.9e-11	15.6	1.0	3.97
COL4A1	5.4e-10	232.7	15.0	3.96
MT1E	6.9e-04	117.4	1821.7	-3.96
TM4SF1	3.1e-11	1005.5	64.5	3.96
FOXM1	2.8e-09	15.6	1.0	3.96
CDCA3	1.9e-07	15.6	1.0	3.96
MFSD10	7.5e-12	198.2	12.8	3.96
MYRF	1.7e-09	113.8	7.3	3.95
CDS1	3.9e-09	15.4	1.0	3.94
GRB7	3.8e-14	121.7	7.9	3.94
GABRE	7.1e-08	31.8	2.1	3.94
RAB36	4.0e-10	15.3	1.0	3.94
ABCC1	3.4e-09	27.5	1.8	3.94
SMLR1	2.4e-07	2.2	34.0	-3.94
RERG	1.6e-06	18.6	1.2	3.94
LIPH	4.9e-05	15.2	1.0	3.93
NAGS	5.1e-06	2.1	32.0	-3.93
MGP	1.1e-04	109.7	7.2	3.93
PKMYT1	1.1e-10	15.2	1.0	3.93
JAG2	8.7e-11	16.4	1.1	3.93
KHK	8.7e-07	9.6	145.9	-3.93
RACGAP1	3.0e-11	16.9	1.1	3.92
GRAMD1B	3.0e-06	15.2	1.0	3.92
LIPC	6.4e-05	11.2	169.9	-3.92
ATP1A1	1.2e-08	884.7	58.5	3.92
NMB	7.9e-08	33.7	2.2	3.92
AR	3.0e-09	2.4	36.3	-3.92
CIB2	2.7e-07	15.1	1.0	3.92
TNFRSF21	9.2e-09	96.5	6.4	3.92
ORAI2	2.2e-13	15.1	1.0	3.92
SMOX	1.3e-10	48.1	3.2	3.92
JAG1	2.8e-09	75.4	5.0	3.91
SEMA6A	7.9e-08	48.5	3.2	3.91
PHETA2	9.6e-08	18.6	1.2	3.91
TFAP2A	5.1e-06	15.0	1.0	3.91
